cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
08.324.196/0001-81,CIA ENERGETICA DO RIO GDE NORTE - COSERN,Serviço Público de Distribuição de Energia Elétrica,2623302,324743,27862,4062421,1052224,2396875,290675,37507,3197162,966768,2160031,230135,6663,2865493,852438,1794204,191591,6278,2403868,845143,1758245,222227,22829,2399009,852888,1617612,248940,33292,1967754,841916,1383176,241148,13021,1879804,888171,1418335,225679,33426,1650070,721715,0,0,0,1534090,707132
08.467.115/0001-00,CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D,Prestação de Serviços de Natureza Pública Ou Privada. No Setor de Distribuição de Energia elétrica.,3388151,-1076029,0,4148411,-3754557,3333828,-1040580,0,4148987,-2352441,3077322,-333997,0,3822035,-1240478,2764254,-567802,0,3460564,-1236010,3558058,-555010,0,3315964,-483596,2849004,-388845,0,2962165,88009,2263719,-231849,0,2997582,511341,0,0,0,0,0,0,0,0,0,0
92.715.812/0001-31,CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT,Geração E Transmissão de Energia Elétrica,1087565,398679,115872,5171599,2447108,1023431,222746,89414,5098548,2388818,1017226,388049,33834,4726199,2338614,1940657,1214104,3666,4180738,2199267,661254,73272,25040,3036365,1487850,670957,-376004,3085,3018093,1449879,755925,-215626,0,3327655,1765298,0,0,0,0,0,0,0,0,0,0
15.141.799/0001-03,CIA FERRO LIGAS DA BAHIA - FERBASA,Fabricação E Comercialização Dos Diversos Tipos de Ferroligas,1279550,255380,15563,2746444,1838173,1381056,349900,30451,2659910,1749115,1108722,308888,26214,1856461,1522558,1096154,41901,-17790,1657620,1357444,936230,191387,33010,1645142,1336271,828247,103353,17694,1461529,1277882,799772,93137,15471,1381796,1218149,707402,97750,16441,1307001,1162929,642334,109037,18249,1254333,1097106
17.245.234/0001-00,CIA FIACAO TECIDOS CEDRO CACHOEIRA,Indústria Têxtil,677334,-4508,9005,732471,194775,649693,51655,7995,709517,208701,635038,39917,2240,575442,162959,505730,-145408,146,527224,77524,396435,-100846,291,585697,220151,563973,-13620,543,683384,317672,584440,22777,6074,691175,330066,504939,20603,1132,627992,321272,527276,18550,1691,640145,311018
61.856.571/0001-17,CIA GAS DE SAO PAULO - COMGAS,Setor de Atividade: Utilidade Pública: Distribuição de Gás Natural Canalizado.,9514222,1993963,710881,8451722,519508,6840011,1921880,368954,8360577,2721324,5537857,917545,63791,8666565,2017083,5657246,1312517,85878,8668792,2590749,6597017,988658,84773,8868031,3181402,6387103,856862,90821,7640424,3108862,6336641,880856,140439,6919259,2656439,5279523,513895,233716,6011149,2173719,4102660,315729,212033,4307670,1246436
87.762.563/0001-03,CIA HABITASUL DE PARTICIPACOES,Participação em Sociedades. Civis Ou Comerciais; Prestação de Serviços Técnicos de Planejamento. Organização E Estruturação de Empresas Ou Grupos Empresariais.,-6827,-122460,806,1197493,233164,63069,-91140,512,1180457,280392,22677,-130179,787,1181873,350603,53424,6172,1615,1290407,463513,70566,15416,2265,1235799,437733,100099,-3042,1870,1281801,483129,106616,20818,4040,1324002,507808,79872,3888,1545,1305968,508728,80054,13638,596,1303145,524619
78.876.950/0001-71,CIA HERING,Confecção de Artigos Do Vestuário E Acessórios,1549159,208927,3120,1811773,1426397,1539568,235163,-1241,1704129,1320076,1562321,278857,19090,1538160,1232912,1475137,197600,-1766,1528691,1209407,1588889,255175,-1631,1472492,1173964,1678294,391613,74042,1432039,1076077,1679779,433762,116654,1298958,907258,1491316,410469,95911,1182334,784000,1353233,394814,100840,1108026,710811
19.526.748/0001-50,CIA INDUSTRIAL CATAGUASES,,177123,7358,-72,230647,137108,176748,-12663,-644,224704,130109,176455,-16477,-581,243419,134145,194122,2171,-268,263353,145283,177409,-7246,-112,268632,144882,193874,14470,226,289491,151460,189472,7271,3177,268614,146064,193083,7743,-99,272085,142471,223732,16522,4614,286361,146237
10.215.988/0001-60,CIA LOCAÇÃO DAS AMÉRICAS,A Companhia Tem Por Objeto A Atividade de Locação de Veículos Nacionais E Importados Com Ou Sem Motorista.,4798607,431591,0,11047994,3904411,2917195,242126,0,8744518,2565546,1094614,80855,0,2394602,483281,754714,35821,2701,1329217,300893,708216,22452,7127,1547721,325596,629222,31006,10597,1367289,307946,540939,19417,1333,1227178,304196,444063,-6521,0,1185423,301795,390682,30486,573,929714,158916
60.730.348/0001-66,CIA MELHORAMENTOS DE SAO PAULO,,121711,-36901,1039,1430671,883397,137639,3673,3846,1432705,919782,146940,19688,8453,1487056,932907,526077,257449,14087,1632577,895626,112208,-81867,65,1473512,712376,269185,36173,4707,1612515,820268,133893,-7263,496,1560668,826225,98021,4068,824,1503931,833429,124307,-11532,741,1517988,828391
76.483.817/0001-20,CIA PARANAENSE DE ENERGIA - COPEL,Geração. Transmissão. Comercialização E Distribuição de Energia Elétrica,16244274,2702195,433555,38312550,17598212,14934780,1955997,580065,35930100,16336214,0,0,0,0,0,13101753,1478358,589322,30434209,15155446,14945844,1797780,698023,28947657,14584478,0,0,0,0,0,9180214,1506504,554520,23111445,12928752,8493252,972528,458257,21208903,12361890,7776165,1583916,611601,18837155,12078493
01.938.783/0001-11,CIA PARTICIPACOES ALIANCA DA BAHIA,Participações em Outras Sociedades. Na Qualidade de Sócia E/ou Quotista E Administração de Bnes Próprios,406453,66156,20461,692363,532367,374866,53151,17540,663835,525809,353778,60118,22971,649347,521688,313929,57748,-9520,642643,509987,287208,36728,10772,596641,445631,267688,22342,8495,618329,464174,232054,-6011,5204,674469,515477,207017,8208,5411,697614,548995,196142,4530,6573,757918,559304
33.050.196/0001-88,CIA PAULISTA DE FORCA E LUZ,Prestação de Serviço Público de Distribuição de Energia Elétrica,10730696,1227851,336582,10917071,1522421,9892570,952019,277064,9353492,1910866,0,0,0,0,0,7555155,414011,303173,9237502,1063400,8754239,484217,-108932,11163454,1352393,7291792,761381,169174,8151388,728213,6024019,939969,239360,7178481,1186113,6518013,641863,321977,6696446,418419,0,0,0,5761746,981355
04.172.213/0001-51,CIA PIRATININGA DE FORCA E LUZ,Prestação de Serviços Públicos de Distribuição de Energia Elétrica.,4345303,422734,133882,4073042,564024,3879542,273530,66819,3910404,516235,0,0,0,0,0,3132760,117556,117267,3656198,355755,3817267,328425,-29926,4235183,537669,3044555,284363,54064,3046725,479686,2480262,134272,39196,2640008,384609,2562687,227776,134141,2666486,215943,0,0,0,2391639,422748
43.776.517/0001-80,CIA SANEAMENTO BASICO EST SAO PAULO,Abastecimento de água. Esgotamento Sanitário. Drenagem E Manejo de águas Pluviais Urbanas. Limpeza Urbana. Manejo de Resíduos Sólidos E Energia.,17983654,4677942,1155463,46457800,21635783,16085094,3912319,852655,43565118,19551688,0,0,0,0,0,14098208,4129054,1121289,36745034,15419211,11711569,587529,1226,33706614,13716606,0,0,0,0,0,11315567,2655599,742578,28274294,12930801,10737631,2547672,593743,26476097,11256762,0,0,0,24983233,10544943
17.281.106/0001-03,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,Prestar Serviços de Saneamento.,5157224,1022304,298169,11528815,6743713,4737285,731872,155605,11178403,6226633,4326401,758700,188598,10809992,6244343,4032875,600499,156260,10947481,5939687,3834469,-27980,4699,10930739,5646850,4131432,432640,122106,10161975,5536564,3733397,566221,138744,9388470,5337359,3448176,639400,156252,9089339,4934888,3224932,639936,152160,8270849,4533095
76.484.013/0001-45,CIA SANEAMENTO DO PARANA - SANEPAR,Exploração de Serviços Públicos E de Sistemas Privados de Abastecimento de água. de Coleta. Remoção E Destinação Final de Efluentes E Resíduos Sólidos Domésticos E Industriais E Seus Subprodutos.,4722826,1453884,0,11939604,6173914,4162205,1165002,0,10781322,5717188,3869401,914073,0,10122671,5152654,3477525,789585,0,9454119,4808673,2971185,540314,0,8244675,4180307,2617040,551194,0,7551739,3801085,2370179,544130,0,6748027,3566842,2123395,445467,0,6171769,2428830,1742395,368007,0,5564068,2310399
15.144.017/0001-90,CIA SEGUROS ALIANCA DA BAHIA,Companhia de Seguros,10955,-1573,-31538,473859,182458,31295,-2372,-30442,478628,180769,34608,14306,-21515,491104,185527,46657,46679,-31333,515319,208633,51069,39724,-26586,475860,185526,53451,29398,-22357,462871,178915,64156,7167,-16886,438510,175231,57830,9695,-15715,425988,178524,62845,10757,-32615,414235,175589
33.042.730/0001-04,CIA SIDERURGICA NACIONAL,A Companhia Siderúrgica Nacional Atua Nos Setores de Mineração. Siderurgia. Logística. Cimento E Energia.,25436417,1410733,0,50869276,11361932,22968885,5450917,0,47327524,10013440,18524601,520338,0,45209970,8288229,17148949,-576951,0,44153623,7384521,0,0,0,0,0,16126232,-263420,0,49767100,5734975,17312432,608155,0,50402539,8069059,0,0,0,0,0,0,0,0,0,0
22.677.520/0001-76,CIA TECIDOS NORTE DE MINAS COTEMINAS,Holding,1865798,-238688,-6473,4309706,1789280,1778913,231633,23020,4258319,1801179,1793201,-7113,3133,3539483,1481996,2658850,-204725,-1867,3338866,1313626,2577862,-68719,8595,3328993,1499652,2449583,-97620,-3543,3256727,1600754,2398140,-10386,13270,3180514,1671583,2045150,22835,17177,3110364,1651192,1739039,-10909,26926,3371430,1708293
21.255.567/0001-89,CIA TECIDOS SANTANENSE,Indústria Têxtil,461513,9386,-143,597626,288242,437418,102430,1140,629334,277613,418543,21206,3205,513960,262641,376607,-5241,376,435999,247420,339573,-34294,201,423235,250550,406434,596,-259,441405,271591,385145,46308,9876,416906,272420,371627,45743,13322,324874,245031,370375,28117,5213,342993,221202
02.105.040/0001-23,CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO,Consiste em Um Processo Financeiro Estruturado Através Do Qual Créditos São Adquiridos. Permitindo A Emissão de Valores Mobiliários (cri Ou Cra) A Serem Negociados No Mercado Financeiro E de Capitais.,11286,-1678,0,38834,29923,12762,2406,383,86121,74961,22357,10452,2443,99555,74516,21040,9406,2211,106214,74439,17986,7368,1184,110522,74094,16656,5981,996,121609,73813,20910,5907,1209,129142,73588,25011,10132,1914,154967,73615,38246,14536,3358,185279,82491
01.027.058/0001-91,CIELO S.A.,Empresa Prestadora de Serviços de Adquirência E Meios de Pagamento.,11347305,2517887,772343,93422308,15064943,11685850,4949506,1484978,82563091,14870096,11600341,6085809,1893749,88347181,15360945,12300784,6020776,2100867,30544070,12902990,11122314,5434831,1813139,29977801,10163967,7725578,4807868,1763725,18679674,4324400,6734240,4038657,1511941,13310582,3331879,5385252,3526704,1308812,10027508,2413161,4208726,2723706,997437,5076431,1424564
00.272.185/0001-93,CIMS S.A.,Participação No Capital de Outras Empresas,0,-163835,0,52829,52183,0,-162230,0,16586,16018,0,-157471,0,178614,178248,0,-171685,0,166121,135719,0,-142564,0,7664,7404,0,-95318,0,150013,149968,0,-114393,0,13706,-54714,0,-169106,0,154242,59679,0,-45751,0,180253,128785
07.437.016/0001-05,CINESYSTEM S.A.,A Companhia Tem Como Principais Atividades A Prestação de Serviços de Cinematografia E A Revenda de Mercadorias de Bombonière.,166480,2378,787,208883,43581,114365,-4426,987,165621,40884,105723,3538,992,111962,32096,94373,1725,906,105466,29700,83244,565,939,89607,28183,69075,-1499,901,87591,28876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02.800.026/0001-40,COGNA EDUCAÇÃO S.A.,A Companhia Tem Por Objeto A Participação. Como Sócia Ou Acionista. em Sociedades Que Explorem A Administração de Atividades de Educação.,7027194,183786,90504,34118446,15835269,6060708,1379389,122422,31949129,17473060,5557748,1920595,97000,18220435,15207726,5244718,1922855,61973,17601065,13849364,5265058,1464461,106114,16638854,12459688,3774475,1015841,28936,15486180,11446408,2015942,533540,19023,4079162,2618689,1405566,208621,16300,3783920,2246204,734553,42680,2338,2966472,1475331
10.531.501/0001-58,CONC AUTO RAPOSO TAVARES S.A.,,514508,-60365,0,2477946,790242,462609,-94165,0,2360075,614868,528274,-61130,0,2285996,529418,406449,-145153,0,2310444,512824,427457,-226229,0,2329419,476934,658140,-120436,0,2299262,461181,512800,-76362,0,1995054,511387,388834,-48913,0,1942186,561965,396019,-61819,0,1451270,512532
15.578.569/0001-06,CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.,Concessão Aeroportuária,2212307,-691764,0,15132032,-1793244,2047397,-514547,0,16195698,-918791,1823135,-720066,0,15983591,-730574,1781267,-1067700,0,16436037,-946951,1949065,-1321980,0,16524381,-228519,2957463,-296800,0,16484697,934897,3058035,192982,0,15463327,1303734,730291,-17466,0,12747594,341763,0,0,0,0,0
02.509.491/0001-26,CONC ECOVIAS IMIGRANTES S.A.,Concessão E Exploração de Rodovias,1138289,549905,176688,1936588,560450,1069132,542115,167365,1942144,449003,1023475,532213,176436,1882581,419623,942796,409848,140422,1835216,400860,935773,358642,121402,1735812,389566,1128114,372365,132086,1617025,379696,1011465,429290,135036,1657310,401994,824431,393162,120751,1134690,569470,771772,356477,109991,1124293,372483
00.938.574/0001-05,CONC RIO-TERESOPOLIS S.A.,Administração. Operação E Conservação de Rodovia,260735,72691,26592,191816,137021,258682,60025,21601,202993,141083,242323,63513,22767,224470,160341,193904,54131,17032,256635,175109,209489,47852,20077,264746,162492,213250,73674,24267,263435,156347,217903,76887,26073,239328,131549,203157,74870,24876,199852,109272,177679,67098,19645,170142,87060
10.841.050/0001-55,CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS,Concessão E Exploração de Rodovias.,343687,44944,29998,1631708,590009,335392,56753,15164,1613595,581910,460486,46027,12549,1634860,554972,360906,29495,8549,1392275,498444,393539,-8780,-110,1316853,445601,358402,11654,7168,1238620,376229,380661,36334,2637,1096217,289495,316326,44007,7374,933367,235133,250252,31151,5028,908728,212945
02.415.408/0001-50,CONC ROD.OESTE SP VIAOESTE S.A,Concessão de Rodovias.,961300,472289,179852,1014395,246862,946599,456571,149758,1250425,245398,1024875,519562,157230,1467685,258282,965776,407446,145644,1426586,236348,981293,443361,148865,1390797,366631,930196,421305,144907,1396635,231090,842566,417629,139806,1458804,314648,777249,348510,106609,1339382,239489,774933,293551,91329,1370475,406942
10.678.505/0001-63,CONC RODOVIAS DO TIETÊ S.A.,,348359,-226927,0,1684946,-182270,296960,-88951,0,1611969,-32164,275874,-51472,0,1625176,26680,237589,-51509,0,1593231,62207,253886,-157510,0,1511815,93111,338577,-64211,0,1405048,143198,317206,-55115,0,1345462,163220,275247,-8821,0,910328,188182,242405,-16219,0,792424,207408
