cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
12.091.809/0001-55,3R PETROLEUM ÓLEO E GÁS S.A,Exploração E Produção de Petróleo E Gás Natural.,32400,-28131,2858,396444,236793,33689,-8283,3485,425782,255919,34831,-58035,1740,453309,232170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.851.771/0001-55,524 PARTICIPACOES S.A.,Holding - Participação em Outras Sociedades,0,-138,0,55,55,0,-107,0,93,93,0,-150,0,100,100,0,-99,0,150,150,0,-73,0,249,249,0,-151,0,322,322,0,95,0,503,473,0,468,0,503,402,0,-69,0,35,34
10.345.009/0001-98,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,Prestação de Serv. de Medicina Preventiva; Comércio. Distribuição. Importação E Exportação de Kits de Teste Laboratorial; Intermediação de Neg.; Licenciamento de Marcas E Franquias; Etc.,0,0,0,0,0,5,-4941,0,421,-14585,18,-5411,0,2409,-9328,0,-5448,2,2750,-4232,0,-12533,0,6681,-35587,0,-9956,0,1845,-20788,0,-25410,0,15883,-46542,0,-24703,0,41444,-18386,79706,28279,9377,52058,-1434
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A,Exploração de Negócio de Construção E Comercialização de Pás de Rotores Para Turbinas Utilizadas Na Geração Eólica de Energia.,834259,103685,14943,802128,174210,647206,132857,12954,527445,129839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04.128.563/0001-10,AES TIETE ENERGIA SA,Geração E Comercialização de Energia Elétrica,2049723,367999,87840,7798912,1451170,1923533,416014,139409,7602605,1523474,1728125,426772,96666,6817913,1557690,1561348,508576,114220,4099579,1578099,2625821,1055927,387983,4636779,2018466,3205007,627216,245252,17673814,5902875,9428650,1605194,554437,16573460,6538341,10099789,1233456,466570,17244714,5473494,9917958,2589098,897545,17462535,7263171
10.338.320/0001-00,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,Transmissão de Energia Elétrica,38621,27354,2199,225655,214346,33684,24305,1735,206200,195754,23646,14944,2014,54791,44935,31353,21237,2955,87616,76206,27417,15398,2765,89374,78418,34643,17338,2356,83910,76650,35127,21360,1919,83403,77503,28242,19884,2193,93210,79668,32008,23789,2627,92069,81257
02.217.319/0001-07,ALEF S.A.,Holding - Participação em Outras Sociedades,0,-136363,0,81334,81320,0,-133965,0,17882,17683,0,-106137,0,21658,21648,0,-97534,0,17940,17785,0,-86018,0,13489,13319,0,-88139,0,19374,19337,0,-84283,0,13257,7476,0,-81780,0,93351,91759,0,-80781,0,43566,43537
17.167.396/0001-69,ALFA HOLDINGS S.A.,Emp. Adm. Part. - Intermediação Financeira,280,40880,0,1003100,993802,324,43012,0,967257,959741,308,40621,-2915,925349,918365,239,50735,-48,889310,882902,189,51585,48,857499,851427,227,32828,0,783632,777600,209,44923,0,746955,742044,93,52406,0,709015,704176,95,47835,0,657553,652428
71.208.516/0001-74,ALGAR TELECOM S/A,Serviços de Telecomunicações em Geral,2871117,456999,118395,4778755,1323227,2867298,465685,90872,4259498,1436928,2715512,311290,74788,3694384,1169971,2544890,234641,40304,3399398,1093514,2418391,194934,45822,3179307,971304,2237844,178555,42441,2840723,867087,1901995,202625,52059,2430334,735181,1811452,208342,50092,2196649,662168,1682158,178053,45977,1909869,579344
05.878.397/0001-32,ALIANSCE SONAE SHOPPING CENTERS S.A.,Planejamento. Desenvolvimento. Implantação E Investimentos Na área Imobiliária. Nomeadamente em Shopping Centers E A Participação em Outras Sociedades E/ou em Fundos de Investimento Imobiliário.,743186,104470,41463,10906547,7516083,508431,160092,19036,4744122,2605937,507691,125022,21577,4793893,2501763,342294,323295,36465,4988081,3458165,331180,268280,23160,4900842,3308930,318724,367259,26579,4742333,3169447,275754,516826,27970,4530037,2964559,256851,402400,88186,4069681,2677242,0,0,0,3266176,2430395
60.537.263/0001-66,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,Outras Atividades de Publicidade Não Especificadas Anteriormente; Gestão de Ativos Intangíveis Não-financeiros; Outras Atividades de Serviços Pessoais Não Especificadas Anteriormente.,1080684,-38062,4566,2419995,581115,979233,-49515,2450,2012550,609330,952194,-68531,2908,2096908,58386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.079.117/0001-05,ALPARGATAS S.A.,Indústria E Comércio de Calçados E Artigos Esportivos,3712184,427493,86236,4522040,2734592,3380217,533845,42020,3980105,2469838,3721863,305795,-7381,3853454,2264389,4054404,385281,47543,3782052,2065749,4038676,304503,21844,3763470,1931236,3711162,302365,15207,3646566,2100904,3425959,347416,42371,3361984,1834451,3006982,299853,26821,2740729,1660898,0,0,0,0,0
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,A Companhia Tem Por Objeto Social A Corretagem E Administração de Seguros de Todos Os Ramos. Participação No Capital Social de Outras Sociedades E Prestação de Serviços de Consultoria Empresarial.,91129,2576,1470,261125,176002,87584,-164846,1539,137607,93085,86817,-75402,4521,300009,257087,132121,-84027,11956,386003,342452,190763,-95911,11095,486130,387715,226392,33947,20429,725208,472433,257848,145582,36638,849952,508142,228315,151342,35320,850875,506267,145376,130264,29152,607404,446892
16.811.931/0001-00,ALPHAVILLE S.A.,Holding Controladora Da Alphaville Urbanismo S.A.. Controlada Esta Que Atua No Setor de Urbanismo E Desenvolvimento de Empreendimentos Imobiliários. As Atividades Da Controlada Englobam Concepção. Pla,164200,-821214,2023,2226035,537685,52039,-784454,6631,2578421,-250014,108321,-835018,8878,2999026,583401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02.783.423/0001-50,ALTERE SECURITIZADORA S.A.,Aquisição E Securitização de Recebíveis Imobiliários E Agrícola. A Emissão E Colocação No mercado Financeiro. de Certificados E Recebíveis Imobiliários E Certificados de Recebíveis agrícolas,92,9,0,51,50,210,72,0,52,46,107,21,0,17,12,607,-465,0,18,12,203,154,0,1085,1049,24,53,0,1100,1085,26,-24,0,1017,1015,93,41,11,1044,674,86,103,26,2040,620
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,A Participação em Outras Sociedades Atuantes Nos Setores de Energia E Infra-estrutura. No Brasil Ou No Exterior; A Geração. Transformação. Transporte. A Distribuiçãoe O Comércio de Energia.,4592099,2182267,92207,19369732,7540065,1882909,926222,89475,14606580,6261709,1538191,789721,103612,11463372,5606797,1553811,811193,81691,10230001,4557811,1493559,649522,96038,9908706,4067046,1474108,807703,78884,8928171,3878309,1290831,783430,97098,8360155,4102146,1201224,647090,74949,7304716,3074264,0,0,0,0,0
07.526.557/0001-00,AMBEV S.A.,Fabricação E Distribuição de Cervejas. Refrigerantes E Bebidas Não Carbonatadas E Não Alcoólicas.,52599709,12943005,1118054,101742944,62556005,50231336,13167021,1833480,94126138,57547424,47899276,12929802,5332336,86851989,47982855,45602561,13398370,413907,83841418,46651273,46720141,16513389,1227888,90176234,50333633,38079786,14368577,2057184,72143203,43644669,35079107,13880808,1935969,69085180,44224695,0,0,0,0,0,0,0,0,0,0
12.648.266/0001-24,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,Gerenciamento E Valorização de Resíduos. Bem Como. Prestação de Serviços de Atendimento A Emergência.,484385,44621,6149,622622,208997,384516,32089,5037,457292,181585,182071,3197,142,278235,139994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.050.071/0001-58,AMPLA ENERGIA E SERVICOS S.A.,Distribuição de Energia Elétrica,5904286,422600,73316,10567762,3660976,5460889,269556,4677,9696399,3495551,5338280,-148074,0,9330722,3356968,4466989,-316203,0,8104030,2269847,5177380,-34667,0,7818528,2513420,4581392,297782,134216,6234801,2593172,3849432,778153,223038,5712410,2480825,3690989,764896,183089,5229122,2052826,0,0,0,0,0
09.288.252/0001-32,ANIMA HOLDING S.A.,Administração. Direta Ou Indireta. de Atividade de Instituições de 3º E 4º Graus. Educação profissional.,1181499,-6322,0,2400023,690435,1102457,3969,163,1446470,665249,1045674,48319,-132,1338152,696441,960434,19318,150,1387852,635692,834944,58469,-1856,1175777,642118,693506,138064,1882,944084,596302,461292,31918,0,867023,477016,323689,23357,0,261641,18357,254229,-32859,0,240994,-39720
16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,O Principal Ramo de Atividade Da Companhia É A Industrialização E A Comercialização de Artigos de Couro E de Plástico em Geral. Incluindo Sapatos. Bolsas E Acessórios.,1679235,204926,42659,1413249,746071,1526659,169998,31631,1045032,711342,1360474,182933,31591,1049899,664960,1239110,157000,42971,907148,669699,1120557,164557,47055,853948,617905,1052909,161487,47345,796509,576293,962950,156117,44812,703866,514542,860335,133504,32882,636591,453899,678907,125452,24598,510628,384047
