nome_cont,nro_proc,ano_fisc,tipo_rec,nro_acordao,dt_secao,relator,decisao,ementa
EMPRESA DE TRANSPORTES SAO LUIZ LTDA,10580.004698/2006-14,2006,RECURSO VOLUNTARIO,3802-000.127,19/11/2009,Relator,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do Colegiado, por maioria de votos, negar provimento ao recurso voluntário, nos termos do relatório e voto que integram o presente julgado. Vencidos os Conselheiros Adélcio Salvalágio (relator) e Luiz Cláudio Farina Ventrilo, que davam provimento por entenderem que a multa de mora restaria afastada pela denúncia espontânea. Designada a Conselheira Maria de Fátima Oliveira Silva para redigir o voto vencedor.
assinado digitalmente
RODRIGO DA COSTA PÔSSAS - Presidente.
assinado digitalmente
PAULO ROBERTO DUARTE MOREIRA - Redator ad hoc.
Participaram do presente julgamento os conselheiros Regis Xavier Holanda, Maria Regina Godinho, Maria de Fátima Oliveira Silva, Adélcio Salvalágio (relator), Alex Oliveira Rodrigues de Lima e Luiz Cláudio Farina Ventrilo. Ausente o Conselheiro Luis Alberto Pinheiro Gomes e Alcoforado.","Assunto: Normas Gerais de Direito Tributário
Data do fato gerador: 30/11/2005
DENÚNCIA ESPONTÂNEA. ART 138 DO CTN. PIS. PAGAMENTO DO DÉBITO ANTES DE QUALQUER PROCEDIMENTO ADMINISTRATIVO. EXCLUSÃO DA MULTA MORATÓRIA. IMPOSSIBILIDADE. TRIBUTO SUJEITO A LANÇAMENTO POR HOMOLOGAÇÃO - MULTA MORATÓRIA. EXIGIBILIDADE. PREJUDICADA A PRETENDIDA COMPENSAÇÃO DA MULTA MORATÓRIA COM OUTROS TRIBUTOS.
1. Não há configuração de denúncia espontânea com a conseqüente exclusão de multa moratória, na hipótese em que o contribuinte declara e recolhe, com atraso o seu débito tributário, sujeito a Lançamento por homologação;
2. Inaplicabilidade do disposto no artigo 138 do CTN, no que toca a restituição de valores pagos a título de multa moratória quando do pagamento em atraso de débitos da COFINS, PIS, CSSL, IR na fonte e IRPJ.;
3. Prejudicada a pretensa compensação de tributos com a multa moratória.
4. Recurso voluntário a que se nega provimento."
"TOV CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS LTDA - EM LIQUIDACAO",16327.721705/2011-82,2011,RECURSO ESPECIAL DO PROCURADOR,9303-004.226,10/08/2016,Rodrigo da Costa Pôssas,"Acordam os membros do Colegiado, por unanimidade de votos, em não
conhecer do recurso para declinar competência em favor da Primeira Turma da Câmara Superior de Recursos Fiscais.","PROCESSO ADMINISTRATIVO FISCAL Ano-calendário: 2007 RECEITAS DE ALIENAÇÕES DE AÇÕES. LANÇAMENTO DE IRPJ, CSLL, PIS E COFINS. COMPETÊNCIA PARA JULGAMENTO. Pelo Regimento Interno do Conselho Administrativo de Recursos Fiscais, aprovado pela Portaria MF nº 343, de 09 de junho de 2015, a competência para julgamento de recurso especial contra decisões proferidas pelos colegiados do CARF relativas a tributação reflexa às infrações à legislação do Imposto de Renda é da Primeira Turma da CSRF. Recurso Especial do Procurador não conhecido."
SOCIEDADE EXPORTADORA E INDUSTRIAL DE MADEIRAS LTDA EM LIQUIDACAO - ME,11030.721079/2011-36,2011,RECURSO VOLUNTARIO,1401-001.738,04/10/2016,MARCOS DE AGUIAR VILLAS BOAS,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade, afastar a preliminar de nulidade e, no mérito, negar provimento ao Recurso Voluntário.

Documento assinado digitalmente.
Antonio Bezerra Neto - Presidente.

Documento assinado digitalmente.
Marcos de Aguiar Villas-Bôas - Relator.

Participaram da sessão de julgamento os conselheiros: Antonio Bezerra Neto (presidente da turma), Guilherme Mendes, Luciana Zanin, Ricardo Marozzi, Marcos Villas-Bôas (relator), Júlio Lima Souza Martins, Aurora Tomazini e Lívia Germano.","Assunto: Imposto sobre a Renda de Pessoa Jurídica - IRPJ
Ano-calendário: 2007
NULIDADE. FALTA DE MOTIVAÇÃO. INOCORRÊNCIA.
A infração está fundamentada adequadamente do ponto de vista legal e suficientemente explicada do ponto de vista fático, ainda que de forma muito sucinta. A Recorrente revela ter compreendido a infração que lhe foi imputada, não tendo havido qualquer prejuízo para sua defesa. Afastada, portanto, a preliminar de nulidade.
TRATAMENTO COMO RECEITA OPERACIONAL. PLANEJAMENTO TRIBUTÁRIO EVASIVO.
A Recorrente é uma maderereira, ou seja, sua atividade é corte e venda de troncos de árvores. Ela não provou nos autos que, ao menos, praticava a compra e venda de imóveis usualmente, nem comprovou que o ganho de capital teria sido tributado nas pessoas físicas. Trata-se de um planejamento tributário evasivo para não tributar o ganho de capital nem na pessoa jurídica, nem na física.
DEVOLUÇÃO AOS SÓCIOS. INOCORRÊNCIA.
Segundo a Recorrente, teria havido uma mera devolução de capital social aos sócios, mas não há qualquer prova de tal fato. O imóvel foi vendido pela empresa, a Recorrente. O que parece ter havido foi a venda do imóvel por ela e a entrega do ganho de capital aos sócios, o que revela distribuição de lucros, e não devolução de capital social."
MISSIATO INDUSTRIA E COMERCIO LTDA,15956.720114/2011-19,2011,RECURSO VOLUNTARIO,1401-001.639,07/06/2016,Luciana Yoshihara Arcangelo Zanin,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, AFASTAR a Decadência e, no mérito, DAR provimento PARCIAL nos seguintes termos: I) Por unanimidade de votos, MANTER o lançamento do IRPJ e CSLL; II) Por unanimidade de votos, DESQUALIFICAR a multa de 150% (cento e cinquenta por cento) reduzindo-a para o percentual de 75% (setenta e cinco por cento); III) Por unanimidade de votos, AFASTAR a responsabilidade tributária. dos sócios administradores; e IV) Por maioria de votos, CANCELAR as multas isoladas. Vencidos os Conselheiros Antonio Bezerra Neto e Fernando Luiz Gomes de Mattos
Documento assinado digitalmente.
Antonio Bezerra Neto Presidente.
Documento assinado digitalmente.
Luciana Yoshihara Arcangelo Zanin Relatora.
Participaram da sessão de julgamento os conselheiros: Antonio Bezerra Neto (presidente da turma), Guilherme Adolfo dos Santos Mendes, Luciana Yoshihara Arcangelo Zanin, Fernando Luiz Gomes de Mattos, Marcos de Aguiar Villas Boas, Julio Lima Souza Martins, Aurora Tomazini De Carvalho.","Assunto: Imposto sobre a Renda de Pessoa Jurídica - IRPJ
Ano-calendário: 2009
COMPENSAÇÃO. INAPLICABILIDADE DA CONTAGEM DO PRAZO DECADENCIAL. RETIFICAÇÃO. INEXISTÊNCIA DE HOMOLOGAÇÃO TÁCITA.
O prazo decadencial previsto no artigo 173, inciso I, do Código Tributário Nacional, obsta o direto fazendário na constituição do crédito tributário, e caracteriza uma das modalidades de extinção desse (CTN, art. 156, V e VII), contudo, no caso da compensação, deve ser discutido se houve ou não a homologação tácita do pedido formulado pelo Contribuinte. No caso de retificação da DIPJ apresentada pelo contribuinte em que se altera o valor do crédito tributário, reinicia-se o prazo de 05 para que o Fisco se manifeste a respeito.
MULTA QUALIFICADA 150%.
Incabível a aplicação de multa qualificada de 150% quando não caracterizada nos autos a prática de dolo, fraude ou simulação.
APLICAÇÃO CONCOMITANTE DE MULTA DE OFÍCIO E MULTA ISOLADA.
Incabível a aplicação concomitante de multa isolada por falta de recolhimento de estimativas no curso do período de apuração e de ofício pela falta de pagamento de tributo apurado no balanço. A infração relativa ao não recolhimento da estimativa mensal caracteriza etapa preparatória do ato de reduzir o imposto no final do ano. A primeira conduta é meio de execução da segunda. A aplicação concomitante de multa de ofício e de multa isolada na estimativa implica em penalizar duas vezes o mesmo contribuinte, já que ambas as penalidades estão relacionadas ao descumprimento de obrigação principal que, por sua vez, consubstanciasse no recolhimento de tributo.
RESPONSABILIDADE TRIBUTÁRIA DOS SÓCIOS.
A responsabilização tributária, no mínimo, pressupõe que a pessoa indicada tenha tolerado a prática de ato abusivo ou ilegal ou praticado diretamente esta conduta, o que não pode ser confundido com verificado equívoco contábil."
ACUCAREIRA BOA VISTA LTDA,10865.001935/2003-48,2003,EMBARGOS DE DECLARAÇÃO,1401-001.734,04/10/2016,MARCOS DE AGUIAR VILLAS BOAS,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, CONHECER dos embargos apenas para esclarecimentos, sem efeitos infringentes, nos termos do voto do relator.

Documento assinado digitalmente.
Antonio Bezerra Neto - Presidente.

Documento assinado digitalmente.
Marcos de Aguiar Villas-Bôas - Relator.

Participaram da sessão de julgamento os conselheiros: Antonio Bezerra Neto (presidente da turma), Guilherme Adolfo Mendes, Luciana Zanin, Ricardo Marozzi Gregorio, Marcos de Aguiar Villas-Bôas (relator), Júlio Lima Souza Martins, Aurora Tomazini de Carvalho e Lívia de Carli Germano.","Assunto: Imposto sobre a Renda de Pessoa Jurídica - IRPJ
Ano-calendário: 1998, 1999, 2000, 2001
OMISSÕES E CONTRADIÇÕES INEXISTENTES. TENTATIVA DE REDISCUTIR A MATÉRIA.
O Acórdão embargado foi analítico e até reconheceu valor maior do que o indicado pela diligência. As omissões e contradições levantadas pela Embargante não existem, em verdade, sendo apenas questões de interpretação, dentro, portanto, da subjetividade argumentativa do julgador."
BANCO SAFRA S A,16327.001526/2010-44,2010,EMBARGOS DE DECLARAÇÃO,9101-002.479,22/11/2016,ADRIANA GOMES REGO,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em não conhecer dos Embargos de Declaração opostos pelo contribuinte.

(assinado digitalmente)
Marcos Aurélio Pereira Valadão  Presidente em exercício

(assinado digitalmente)
Adriana Gomes Rêgo - Relatora

Participaram do presente julgamento os Conselheiros Marcos Aurélio Pereira Valadão (Presidente em Exercício), Adriana Gomes Rêgo, Cristiane Silva Costa, André Mendes de Moura, Luís Flávio Neto, Rafael Vidal De Araújo, Daniele Souto Rodrigues Amadio e Demetrius Nichele Macei (suplente convocado). Ausente, justificadamente, o Conselheiro Carlos Alberto Freitas Barreto.","Assunto: Imposto sobre a Renda de Pessoa Jurídica - IRPJ
Ano-calendário: 2006
EMBARGOS DE DECLARAÇÃO. NECESSIDADE DE PREQUESTIONAMENTO.
Não podem ser acolhidos embargos de declaração opostos contra Acórdão de Recurso Especial que versam sobre matéria que não foi trazida por ocasião do Recurso Voluntário ou em razões ao Recurso de Ofício."
JOHN DEERE BRASIL LTDA,11070.720968/2012-91,2012,RECURSO ESPECIAL DO CONTRIBUINTE,9101-002.481,22/11/2016,ADRIANA GOMES REGO,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, (1) em relação à trava de 30%, por unanimidade de votos, em conhecer do Recurso Especial do Contribuinte e, no mérito, por voto de qualidade, em negar-lhe provimento, vencidos os Conselheiros Cristiane Silva Costa, Luís Flávio Neto, Daniele Souto Rodrigues Amadio e Demetrius Nichele Macei, que lhe deram provimento; (2) em relação à qualificação da multa, por unanimidade de votos, em conhecer do Recurso Especial do Contribuinte e, no mérito, por maioria de votos, em negar-lhe provimento, vencidos os Conselheiros Luís Flávio Neto, Daniele Souto Rodrigues Amadio e Demetrius Nichele Macei, que lhe deram provimento. Acordam, ainda, em relação às infrações de glosa de custos/despesas relativas à parcela de mais-valia, por unanimidade de votos, em não conhecer do Recurso Especial do Contribuinte.

(assinado digitalmente)
Marcos Aurélio Pereira Valadão  Presidente em exercício

(assinado digitalmente)
Adriana Gomes Rêgo - Relatora

Participaram do presente julgamento os Conselheiros Marcos Aurélio Pereira Valadão (Presidente em Exercício), Adriana Gomes Rêgo, Cristiane Silva Costa, André Mendes de Moura, Luís Flávio Neto, Rafael Vidal De Araújo, Daniele Souto Rodrigues Amadio e Demetrius Nichele Macei (suplente convocado). Ausente, justificadamente, o Conselheiro Carlos Alberto Freitas Barreto.","Assunto: Imposto sobre a Renda de Pessoa Jurídica - IRPJ
Ano-calendário: 2006, 2007
RECURSO DE DIVERGÊNCIA. AUSÊNCIA DE SIMILITUDE FÁTICA.
Acórdãos paradigmas que não analisaram situações fáticas similares não se prestam a demonstrar divergência de interpretação da legislação.
ENCERRAMENTO DE ATIVIDADES. COMPENSAÇÃO DE PREJUÍZOS. LIMITE A 30% DO LUCRO LÍQUIDO AJUSTADO.
O encerramento das atividades da pessoa jurídica não é exceção ao dispositivo legal que limita a compensação de prejuízos acumulados ao percentual de 30% do lucro líquido ajustado (trava dos 30%).

Assunto: Normas de Administração Tributária
Ano-calendário: 2006, 2007
MULTA DE OFÍCIO. QUALIFICAÇÃO.
O dolo é a intenção do injusto que está subjacente ao mecanismo utilizado para ocultar ou mitigar o fato gerador do tributo, evidenciado nos atos circunstanciais que extrapolam a expectativa associada a operações usuais na atividade empresária. Verificado o dolo, a multa de ofício deve ser exasperada.

Assunto: Outros Tributos ou Contribuições
Ano-calendário: 2006, 2007
CSLL. TRIBUTAÇÃO REFLEXA.
Tratando-se da mesma situação fática e do mesmo conjunto probatório, a decisão prolatada no lançamento do IRPJ é aplicável, mutatis mutandis, ao lançamento da CSLL."
"CREDIT LYONNAIS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTO",16327.002321/99-82,1/99,RECURSO ESPECIAL DO PROCURADOR,9101-002.460,18/10/2016,RAFAEL VIDAL DE ARAUJO,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em conhecer do Recurso Especial da Fazenda Nacional e, no mérito, por maioria de votos, em negar-lhe provimento, vencido o relator, que lhe deu provimento.
(documento assinado digitalmente)
Marcos Aurélio Pereira Valadão - Presidente.
(documento assinado digitalmente)
Rafael Vidal De Araujo - Relator.
(documento assinado digitalmente)
Adriana Gomes Rego  Redatora designada.
Participaram da sessão de julgamento os conselheiros: Marcos Aurélio Pereira Valadão (Presidente em Exercício), Adriana Gomes Rego, Cristiane Silva Costa, André Mendes de Moura, Luis Flavio Neto, Rafael Vidal De Araujo, Demetrius Nichele Macei (suplente convocado em substituição à conselheira Nathália Correia Pompeu).","Assunto: Imposto sobre a Renda de Pessoa Jurídica - IRPJ
Ano-calendário: 1996
PERC. ÔNUS DA PROVA DA IRREGULARIDADE FISCAL
Nos termos do Código de Processo Civil, o ônus da prova incumbe, primeiramente, ao autor, quanto ao fato constitutivo de seu direito, sendo ilegal a exigência de que, antes que o autor se desincumba desse ônus, o réu demonstre a existência de fato impeditivo, modificativo ou extintivo do direito do autor.
A Súmula CARF nº 37, de observância obrigatória pelos julgadores deste Tribunal, determina que a exigência de comprovação de regularidade fiscal para fins de deferimento do PERC, recaia sobre o período a que se refere a DIPJ na qual se deu a opção pelo incentivo, não se admitindo que se exija que o contribuinte demonstre a regularidade de débitos que vierem a ser exigidos posteriormente a esse período."
BETA INFORMATICA - EIRELI - ME,11634.720759/2012-14,2012,RECURSO VOLUNTARIO,1401-001.641,07/06/2016,LUCIANA YOSHIHARA ARCANGELO ZANIN,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, REJEITAR a preliminar de nulidade e, no mérito, NEGAR provimento ao recurso.
Documento assinado digitalmente.
Antonio Bezerra Neto - Presidente.
Documento assinado digitalmente.
Luciana Yoshihara Arcangelo Zanin - Relatora.
EDITADO EM: 28/11/2016
Participaram da sessão de julgamento os conselheiros: Antonio Bezerra Neto (Presidente), Guilherme Adolfo Dos Santos Mendes, Luciana Yoshihara Arcangelo Zanin, Fernando Luiz Gomes De Mattos, Marcos De Aguiar Villas Boas, Julio Lima Souza Martins, Aurora Tomazini De Carvalho.","Assunto: Imposto sobre a Renda de Pessoa Jurídica - IRPJ
Ano-calendário: 2008, 2009, 2010
IRPJ. OMISSÃO DE RENDIMENTOS. LANÇAMENTO COM BASE EM
DEPÓSITOS BANCÁRIOS.
O art. 42 da Lei nº 9.430/1996 autoriza a presunção de omissão de rendimentos tributáveis com base nos valores depositados em conta bancária para os quais o titular, regularmente intimado, não comprove, mediante documentação hábil e idônea, a origem dos recursos utilizados nessas operações. Se o ônus da prova, por presunção legal, é do contribuinte, cabe a ele a prova da origem dos recursos utilizados para acobertar seus depósitos bancários, a qual não pode ser substituída por meras alegações.
MULTA QUALIFICADA. CONFISCO. INCONSTITUCIONALIDADE. APRECIAÇÃO. IMPOSSIBILIDADE.À autoridade julgadora é vedado afastar a aplicação da lei sob fundamento de inconstitucionalidade, pelo que é impossível apreciar as alegações de ofensa aos princípios constitucionais da vedação ao confisco, razoabilidade e proporcionalidade.
Recurso Voluntário Negado"
EMIRATES,19515.720885/2014-07,2014,RECURSO DE OFÍCIO,1401-001.729,04/10/2016,MARCOS DE AGUIAR VILLAS BOAS,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, NÃO CONHECER do recurso voluntário em face da sua intempestividade e NEGAR provimento ao recurso de ofício.


Documento assinado digitalmente.
Antonio Bezerra Neto - Presidente.

Documento assinado digitalmente.
Marcos de Aguiar Villas-Bôas - Relator.

Participaram da sessão de julgamento os conselheiros: Antonio Bezerra Neto (presidente da turma), Guilherme Adolfo Mendes, Luciana Zanin, Ricardo Marozzi Gregorio, Marcos de Aguiar Villas-Bôas (relator), Júlio Lima Souza Martins, Aurora Tomazini de Carvalho e Lívia de Carli Germano.","Assunto: Imposto sobre a Renda de Pessoa Jurídica - IRPJ
Ano-calendário: 2009
INTEMPESTIVIDADE. RECURSO. INTERPOSIÇÃO FORA DO PRAZO.
Seja pelas regras da intimação ficta, seja pelas regras da intimação efetiva, o Recurso Voluntário foi interposto com meses de atraso, motivo pelo qual é intempestivo e não pode, portanto, ser conhecido.
MATÉRIAS DE ORDEM PÚBLICA. DESCABIMENTO.
A matéria de ordem pública pode ser reconhecida de ofício pelo julgador, o que não significa estar ele obrigado a analisar toda a matéria de ordem pública alegada pelas partes. Não tendo reconhecido nenhuma matéria de ordem pública que afetasse o resultado do feito, deve ser mantido o entendimento pelo não conhecimento do Recurso Voluntário.
MULTA ISOLADA. ERRO NO CÁLCULO. MANTIDO AJUSTE.
Uma vez que foi cometido erro no cálculo da multa isolada, já reconhecido, inclusive, pelo Acórdão da DRJ, deve ser mantido o ajuste no seu valor."
