cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
60.884.319/0001-59,NORDON INDUSTRIAS METALURGICAS S.A.,A Sociedade Tem Como Atividade Operacional Preponderante A Produção de Bens de Capital Destinados Ao Mercado Interno E Externo Para Os Setores Químico. Petrolífero. Petroquímico. Criogenia. Alimentíci,1358,-330,0,16769,-139296,921,-5088,0,16258,-138966,566,-3832,0,15970,-133878,0,-11035,0,15589,-130046,0,-28764,0,16448,-119011,0,-14457,0,17082,-90247,0,-9916,0,24419,-75790,0,-7907,0,25154,-67345,0,-20715,0,25125,-59759
29.950.060/0001-57,NORTEC QUÍMICA S.A.,Química Fina. Ciências Da Vida. Fabricantes de Insumos Farmacêuticos Ativos - Matéria-prima Para A Indústria Farmacêutica,171502,22213,6064,194452,134241,188515,33474,9340,161973,122198,143607,19893,6395,152146,104705,137456,23203,7931,140024,94228,145243,32912,11393,134806,82379,116017,20487,8460,91931,62997,90921,12981,0,70439,51511,90717,12485,0,60265,43231,81364,13984,0,52261,36096
19.853.511/0001-84,NOTRE DAME INTERMEDICA PARTICIPACOES SA,Prestação de Serviços de Assistência à Saúde E Odontológica.,8412439,719177,268143,13148040,6370396,6135217,538475,131320,5755866,2340065,5304923,401307,111890,4821792,1351157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.128.999/0001-90,NUTRIPLANT INDUSTRIA E COMERCIO S.A.,Industria E Comércio de Fertilizantes Para Agricultura.,63422,46045,0,58409,12831,51031,-3371,276,71388,-21626,37102,-10353,0,69662,-20734,30362,-7201,0,73129,-11248,34863,-23182,0,79924,3469,44411,-6359,0,95778,25971,44057,-2413,0,100167,30856,52248,4608,0,102710,32619,0,0,0,0,0
12.139.922/0001-63,OCTANTE SECURITIZADORA S.A.,Securitização de Direitos Creditórios Imobiliários E Do Agronegócio. Emissão de Certificados de Recebíveis Imobiliários E Certificados de Recebíveis Do Agronegócio,1927,366,104,859,491,1530,17,9,562,291,1688,60,16,358,285,2228,22,11,387,251,1585,169,32,325,243,834,17,3,323,139,838,97,24,183,125,0,0,0,0,0,0,0,0,0,0
58.119.199/0001-51,ODONTOPREV S.A.,Operadora de Planos Odontológicos,1808926,405724,117669,1768742,1116493,1591841,407044,127838,1647584,1031688,1437283,745397,143885,1389568,926609,1365039,305467,120862,1351386,697709,1249691,326917,107627,1195650,653791,1156121,288151,83339,1102673,644248,1069606,274999,77814,1073885,697802,955483,213161,47062,1035921,701301,835263,196963,37142,1031352,764040
76.535.764/0001-43,OI S.A.,,20136183,-9087088,77060,71891822,17796506,22060014,21340608,-115706,65437797,22895811,23789654,-5557540,906080,68639036,-13512523,0,0,0,85810334,2361978,0,0,0,0,0,28247099,1128073,622001,102789122,19311489,28422147,2012169,418498,70096071,11524138,0,0,0,0,0,0,0,0,0,0
09.149.503/0001-06,OMEGA GERAÇÃO S.A.,Participação. Direta Ou Por Meio de Joint Venture (parceria). Consórcio Ou Qualquer Outra Sociedade. em Ativos de Energia Elétrica Que Já Tenham Atingido A Fase Operacional,1014375,65819,33190,7262471,2861663,742023,90312,25452,4120023,1870367,546114,131880,18764,3905772,1810516,194982,35117,8516,773607,369747,143223,12963,8187,767926,368682,114453,22162,-4204,811504,384030,48642,-13809,3069,703747,403344,28306,-8688,2047,689521,518551,0,-6144,0,334518,324994
02.318.346/0001-68,OPPORTUNITY ENERGIA E PARTICIPACOES S.A.,Participação em Outras Sociedades.,0,-14553,0,370988,54008,0,-44123,0,335104,30776,0,-712,0,337176,76146,0,37889,0,204200,-11340,0,-52397,0,204263,-49229,0,-86,0,68,68,0,-86,0,16,14,0,-121,0,102,100,0,-103,0,70919,50756
09.112.685/0001-32,OSX BRASIL S.A.,Equipamentos E Serviços Para A Indústria Offshore de Petróleo E Gás Natural.,12013,-568623,5,2012059,-4583448,9060,-427239,18,1740647,-4014370,10629,-606452,40,1742132,-3584724,1093,-1445823,32,1687484,-3030420,188706,-622959,26,1812670,-2343246,731084,-4270029,13156,6049548,-1866627,745123,-2337814,3271,8542602,2203555,433773,-50999,4223,9799718,3332778,0,0,0,0,0
12.320.349/0001-90,OURINVEST SECURITIZADORA SA,Aquisição E Securitização de Direitos Creditórios Imobiliários E Do Agronegócio. Com A Consequente Emissão E Colocação Dos Cris/ Cras Nos Mercados Financeiros E de Capitais.,12843,8302,1945,11703,7349,7290,2366,539,3136,992,9647,5586,1359,2405,1588,3060,845,177,1895,860,0,-960,0,313,-429,0,-2283,0,318,221,867,-1316,0,771,451,0,-1975,0,1115,917,440,-604,0,1562,1492
20.258.278/0001-70,OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.,Participação em Outras Sociedades Que Execerçam Atividades de Desenvolvimento. Fabricação E Comercialização de Produtos Destinados Ao Setor de Saúde Animal.,619585,57958,10629,869536,492481,589215,82824,17416,846007,455967,505281,49558,6973,810227,405636,456587,-13350,3604,775576,376295,534045,87267,25237,693371,380309,327360,54105,9840,627261,330157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75.609.123/0001-23,OURO VERDE LOCACAO E SERVICO S.A.,Locação de Veículos E de Equipamentos. Com Ou Sem A Cessão de Operador; Gestão E Administração de Veículos. Máquinas E Equipamentos de Terceiros. Dentre Outras Atividades Correlatas.,697134,-131173,0,1848696,387987,814093,-95379,0,1838330,111436,937942,-6283,0,1967584,185387,975515,15711,0,2134177,190516,981873,16107,0,2422922,183704,823630,28932,0,2318830,176929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02.365.069/0001-44,PADTEC HOLDING S.A.,Participação em Outras Sociedades. Fdos de Investimento. Carteiras de Valores Mobiliários Ou Outros Veículos de Investimento. Que Atuem Na área de Tecnologia. em Especial Na Padtec S.A.,0,2819,-9,63671,18348,0,10072,676,64151,13295,486,24668,24,55247,2402,941,140794,0,95034,-14847,1114,-74455,4,342002,-133192,1280021,-74255,484,731419,82156,1538362,-25000,2497,867031,122948,0,0,0,768303,76050,0,0,0,0,0
92.693.019/0001-89,PANATLANTICA S.A.,Industrialização E Comercialização de Aços Planos.,1050533,27963,10221,955559,426366,1066091,77437,12564,895309,413798,813954,24632,7423,780950,349634,683821,21149,6444,753713,332568,634929,17317,6333,643375,316901,736923,22654,6286,635008,305832,746372,69220,4281,582407,281428,374837,20328,4869,345354,174065,365581,16822,3527,294757,158596
14.388.334/0001-99,PARANA BCO S.A.,Banco Múltiplo Com Carteira de Crédito. Financiamento E Investimentos.,845698,187484,0,6103935,4419954,996430,295744,0,5950893,4004172,1037438,204029,0,5844442,3978346,1181752,14586,5881,5708746,31,1080884,87634,10399,5802780,60,862321,109736,20268,5548580,65,655584,98537,18694,4391945,55,591006,160700,15785,3783980,53,477932,308195,-1093,3068827,23
